Country,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,ISO,Life expectancy,Meat consumption,Suicide rate,Male Height in Cm,Female Height in Cm,Surface area (km2),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Eritrea,3546421,1.41,49304,35,101000,-39858,4.1,19,63.0,0.05,ERI,65.9,7.7,13.8,170.6,157.58,117600,4783,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,,109,109,16,3325,-3310,-99.0,45.0,3.3,,,,,,22.0,7.0,1.1,122,15.0,,27,7,,,,-99
Estonia,1326535,0.07,887,31,42390,3911,1.6,42,68.0,0.02,EST,78.6,67.4,14.4,182.79,168.66,45227,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,,136,136,13952,15759,-1807,493.0,3.2,6.4,3.3,5.5,,,,26.7,148.7,88.4,23,52.7,,242,193,,,-99.0,-99
Ethiopia,114963588,2.57,2884858,115,1000000,30000,4.3,19,21.0,1.47,ETH,66.2,7.9,11.4,168.84,157.15,1104300,59917,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,,158,157,1724,19121,-17397,,45.8,4.9,,4.5,,,,38.8,42.8,11.6,148,12.5,,1308,15,,,5.28,-99
Fiji,896445,0.73,6492,49,18270,-6202,2.8,28,59.0,0.01,FJI,67.3,39.1,5.5,173.98,164.28,18272,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,,88,88,926,2316,-1391,-72.0,16.0,4.5,,3.9,,,,16.0,108.2,46.3,291,55.4,,8,26,,,2.46,-99
Finland,5540720,0.15,8564,18,303890,14000,1.5,43,86.0,0.07,FIN,81.7,67.4,11.7,180.57,166.48,338440,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,,101,101,57326,60502,-3176,-979.0,2.3,9.7,3.0,7.2,,,,42.0,135.5,92.7,36,73.1,,757,257,,,-99.0,-99
France,65273511,0.22,143783,119,547557,36527,1.9,42,82.0,0.84,FRA,82.5,101.1,12.1,178.6,164.49,551500,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,,103,103,488885,560555,-71670,-4861.0,3.4,11.5,3.2,5.5,,,,25.8,102.6,84.7,278,30.8,,5694,158,,,-99.0,-99
Gabon,2225734,2.45,53155,9,257670,3260,4.0,23,87.0,0.03,GAB,66.2,46.0,9.6,170.48,160.05,267668,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,,97,92,2851,2930,-79,,40.8,3.4,,2.7,,-99.0,,17.1,168.9,23.5,270,88.5,,559,64,,,0.73,-99
Gambia,2416668,2.94,68962,239,10120,-3087,5.3,18,59.0,0.03,GMB,61.7,5.2,10.0,168.36,161.73,11295,942,4.7,473.2,21.1,14.9,64.0,30.4,14.4,55.2,29.7,,82,82,32,471,-439,,49.8,7.3,,2.8,,,,9.4,131.3,17.1,67,48.1,,7,7,,,12.35,-99
Georgia,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58.0,0.05,GEO,73.6,26.0,6.7,175.98,163.24,69700,13965,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,,85,86,2114,7236,-5122,-1775.0,11.2,7.4,4.8,2.0,,,,16.0,129.0,45.2,120,40.6,,61,47,,,3.3,-99
Germany,83783942,0.32,266897,240,348560,543822,1.6,46,76.0,1.07,DEU,81.2,82.1,9.1,180.28,166.18,357376,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,,111,111,1340752,1060672,280080,279969.0,3.4,11.3,4.1,5.0,,,,37.0,116.7,87.6,116,32.7,,5004,158,,,-99.0,-99
